kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton,suhu_mean,suhu_max_mean,suhu_min_mean,n_hari_panas,n_hari_dingin,hujan_total,hujan_mean_harian,n_hari_hujan,n_hari_kering,n_hari_ekstrim,hujan_max_harian,n_run2_hujan_ekstrim,n_run3_hujan_ekstrim,maks_run_hujan_ekstrim,n_run3_kering,n_run7_kering,maks_run_kering,et0_total,et0_mean,neraca_air,radiasi_mean,rh_max_mean,rh_min_mean,angin_max_mean,n_hari_angin_kencang,label_hist
Kota Kediri,2018,1581.85,64.52,6.452,10205.56,26.35095890410959,31.06191780821917,23.2813698630137,8,1,1255.0,3.4383561643835616,159,206,2,107.8,0,0,1,12,8,42,1658.64,4.544219178082192,-403.6399999999999,19.147424657534245,91.84931506849315,56.33424657534247,20.176986301369865,0,2
Kota Blitar,2018,759.75,64.12,6.412000000000001,4871.29,25.020273972602737,29.225753424657533,21.811780821917807,0,42,1834.2,5.025205479452055,211,154,3,97.3,0,0,1,12,7,77,1397.53,3.828849315068493,436.6699999999999,18.12991780821918,95.64109589041097,62.55068493150685,17.23753424657534,0,0
Kota Malang,2018,1857.02,63.81,6.381,11850.09,23.896986301369868,28.153424657534245,21.00876712328767,0,68,2476.0999999999995,6.783835616438354,194,171,7,123.3,0,0,1,15,6,73,1325.34,3.631068493150685,1150.7599999999993,17.758520547945206,94.9945205479452,60.54520547945206,11.27150684931507,0,1
Kota Probolinggo,2018,1165.41,49.31,4.931,5747.01,27.42465753424657,31.068493150684933,24.88054794520548,0,0,1374.6,3.766027397260274,153,212,3,105.6,0,0,1,15,4,34,1909.15,5.23054794520548,-534.5500000000002,20.51745205479452,84.59726027397261,57.463013698630135,23.44054794520548,11,0
Kota Pasuruan,2018,1819.04,65.13,6.513,11846.57,27.74876712328767,32.01315068493151,23.9627397260274,7,1,1340.1,3.671506849315069,130,235,2,82.4,0,0,1,13,7,17,1724.2600000000002,4.724,-384.1600000000003,21.31501369863014,91.86575342465754,54.88493150684931,14.786301369863011,0,2
Kota Mojokerto,2018,730.3199999999999,57.26,5.726,4182.15,28.0841095890411,33.76328767123288,23.942739726027398,140,2,1459.3000000000002,3.9980821917808234,151,214,2,67.7,0,0,1,12,5,57,1702.49,4.664356164383562,-243.18999999999983,19.76923287671233,89.16986301369863,45.99452054794521,14.39890410958904,0,1
Kota Madiun,2018,1362.01,62.3,6.23,8485.369999999999,27.44219178082191,32.726301369863016,23.672328767123293,74,0,1114.7,3.053972602739726,145,220,1,55.1,0,0,1,17,7,25,1807.96,4.953315068493151,-693.26,19.747479452054797,87.32876712328768,48.8054794520548,18.876712328767123,0,1
Kota Surabaya,2018,2687.21,53.86,5.386,14474.53,27.708767123287668,30.92383561643836,24.63780821917808,0,0,1274.1,3.490684931506849,155,210,0,30.6,0,0,0,14,7,24,1718.58,4.708438356164383,-444.48,20.59523287671233,91.26027397260276,57.33424657534247,17.44630136986301,0,0
Kota Batu,2018,871.17,67.38,6.738,5869.53,21.456438356164384,25.456438356164384,18.661095890410955,0,328,2888.4000000000005,7.913424657534248,227,138,11,118.3,1,1,3,18,9,61,1258.9699999999998,3.4492328767123284,1629.4300000000007,17.903835616438354,97.23287671232876,64.2931506849315,10.51095890410959,0,1
Pacitan,2019,20504.49,44.84,4.484,91941.66,26.0586301369863,29.13890410958904,23.757534246575343,0,1,1533.4,4.201095890410959,170,195,4,134.1,1,0,2,18,7,26,1469.95,4.027260273972603,63.450000000000045,19.73430136986301,93.88493150684933,68.63835616438357,16.73780821917808,0,0
Ponorogo,2019,58080.19,55.48,5.548,322205.5,27.218356164383565,32.294794520547946,23.567123287671237,48,2,1422.5000000000002,3.897260273972603,141,224,1,113.6,0,0,1,12,5,34,1821.92,4.991561643835617,-399.4199999999999,20.25358904109589,88.72876712328767,51.76986301369863,20.96602739726028,0,0
Trenggalek,2019,20474.89,54.81,5.481,112213.57,25.360821917808217,29.116986301369867,22.71671232876712,0,18,1710.9,4.687397260273973,226,139,2,167.3,0,0,1,21,8,37,1380.63,3.7825479452054793,330.2700000000002,18.680876712328764,96.3013698630137,66.46849315068494,14.338630136986302,0,1
Tulungagung,2019,34584.26,56.8,5.68,196430.58,26.08109589041096,30.50328767123288,22.985205479452052,0,7,1717.2,4.704657534246575,216,149,2,141.2,0,0,1,19,9,27,1470.23,4.028027397260274,246.97000000000003,18.873342465753424,95.38630136986302,60.35068493150685,14.318356164383564,0,0
Blitar,2019,36193.94,61.9,6.19,224027.19,25.309315068493145,30.013698630136982,21.814520547945204,0,52,1744.4,4.779178082191781,186,179,2,93.9,0,0,1,13,7,37,1506.74,4.128054794520548,237.66000000000008,19.26569863013699,96.37260273972603,59.52054794520548,17.449863013698632,0,1
Kediri,2019,39448.75,56.49,5.649,222837.82,26.078630136986305,30.53972602739726,23.365479452054792,3,0,2760.4,7.562739726027398,162,203,8,249.8,2,0,2,9,5,69,1639.85,4.492739726027397,1120.5500000000002,20.033808219178084,92.0082191780822,58.61917808219178,18.47068493150685,0,0
Malang,2019,48397.75,58.08,5.808,281072.26,23.98602739726028,28.66520547945205,20.74082191780822,0,92,2059.3,5.641917808219179,170,195,5,147.9,0,0,1,10,4,72,1479.01,4.052082191780822,580.2900000000002,19.801753424657537,97.42465753424658,60.293150684931504,17.743287671232874,0,0
Lumajang,2019,53466.4,53.1,5.3100000000000005,283894.22000000003,25.51232876712329,29.495890410958904,22.68520547945205,0,12,2719.2000000000003,7.449863013698631,292,73,4,96.1,0,0,1,25,9,40,1363.64,3.736,1355.5600000000004,18.42232876712329,95.89315068493153,67.41369863013699,13.127671232876711,0,0
Jember,2019,123591.19,49.91,4.991,616858.41,26.626027397260277,31.549041095890416,22.993150684931507,17,13,1927.3,5.280273972602739,212,153,6,104.0,2,1,3,16,6,42,1507.2,4.129315068493151,420.0999999999997,19.00216438356164,94.7095890410959,55.778082191780825,12.694246575342463,0,1
Banyuwangi,2019,81552.76999999999,54.6,5.46,445253.86,25.598356164383567,28.90986301369863,23.12630136986301,0,1,1609.6,4.40986301369863,259,106,3,104.3,0,0,1,23,13,31,1434.01,3.928794520547945,175.58999999999992,19.812602739726035,95.66027397260274,67.2027397260274,13.914246575342467,0,0
